trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,2,-82.17367884534698,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.946042343528387}",20,5,-85.9093205412558,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-75.56209639498238,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,0,-98.44870140250579,"{0: 20, 1: 7, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-41.097571136653194,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-133.9749792355418,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,6,-108.21555765312459,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
38,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-39.303396532688765,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-49.09524195757011,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-226.37485619546993,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
41,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-81.31209543778382,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",35,0,-256.9762749909779,"{0: 17, 1: 5, 2: 9, 3: 0, 4: 4}",0
43,False,"{'a': 0.01, 'e': 0.9047516632199634}",35,0,-185.10435259263042,"{0: 16, 1: 10, 2: 7, 3: 0, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-127.09172552665028,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,6,-56.490511693324564,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-57.028624065007556,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,14,-15.416765226493794,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8823328586101215}",25,3,-115.36986475836572,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
49,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-110.95466050147427,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-58.64429961415326,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-47.30446107407609,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-80.17212814837127,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-109.29037174583975,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,10,-4.698609766177105,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-112.60436807512208,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,13,-3.2385591032467556,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-39.28495166259819,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-104.50642781727737,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-17.442494395417803,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-69.67857582918408,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-27.471352729436944,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-77.42963423441036,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-69.70422072877727,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.7960837985490559}",30,0,-115.22455965023067,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-54.30837236935832,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-68.93129574821083,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-61.80453605016808,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-49.8282329288063,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
